municipality,hours,public_providers,cost,town,countryside,old,population,density,care_recievers
Ale,32,71,353658,0,0,0.17932925,29549,95.3,7.5
Alingsås,41,71,291950,0,0,0.219503059,40045,85.6,9.6
Älmhult,28,80,306957,0,1,0.2088699,16618,19.3,11.3
Älvdalen,40,100,296786,0,1,0.277738315,7039,1,16.1
Alvesta,37,100,236896,1,0,0.21768262,19850,20.6,11.5
Älvkarleby,48,100,374246,1,0,0.233245103,9445,43.7,12.1
Älvsbyn,35,100,231400,1,0,0.25839131,8193,4.9,12.1
Åmål,27,86,270195,0,1,0.253808296,12801,26.4,17.9
Aneby,38,100,265639,1,0,0.221717401,6603,13.1,15.8
Ånge,15,100,226195,0,1,0.27014218,9495,3.1,10.4
Ängelholm,27,67,296642,1,0,0.235847687,41336,99.5,10.8
Arboga,31,100,235137,0,1,0.252247716,13903,42.8,16.6
Åre,21,100,267400,0,1,0.176497114,11088,1.6,6
Årjäng,29,100,319380,0,1,0.241313517,9958,7.1,11.5
Arjeplog,31,100,262980,0,1,0.271210014,2876,0.2,19.3
Arvidsjaur,29,100,201016,0,1,0.267308289,6442,1.1,8.5
Arvika,31,100,381786,0,1,0.250287864,26054,15.8,7.5
Åsele,NA,NA,NA,NA,NA,0.303652174,2875,0.7,16.6
Askersund,35,100,330835,1,0,0.275660344,11282,13.7,7.8
Åstorp,37,100,342598,1,0,0.181478619,15528,171.4,11.2
Åtvidaberg,31,100,352146,1,0,0.252733064,11617,16.9,4.3
Avesta,28,100,259337,0,1,0.242131169,23161,37.9,13.5
Båstad,31,100,344510,0,1,0.299233612,14614,68.1,10.4
Bengtsfors,23,100,225677,0,1,0.285110664,9940,11.2,15.2
Berg,23,80,230738,1,0,0.280186414,7081,1.2,9.1
Bjurholm,32,100,249747,1,0,0.297066015,2454,1.9,8.6
Bjuv,100,100,262973,1,0,0.186554401,15202,133.8,8
Boden,31,88,266986,1,0,0.239105627,28042,7,4.6
Bollebygd,35,100,293235,0,0,0.201933641,9102,35.2,16.6
Bollnäs,34,100,358241,0,1,0.252367336,26929,14.8,3.1
Borås,26,75,311093,1,0,0.192637423,109880,122,28.5
Borgholm,48,100,380275,0,1,0.331747484,10930,16,2.3
Borlänge,37,100,230602,1,0,0.196922719,51604,89,13.9
Botkyrka,36,100,197829,0,0,0.13838434,90675,473.5,25.8
Boxholm,5,100,324297,0,1,0.254420249,5373,10.4,15.1
Bräcke,33,100,334737,1,0,0.275878004,6492,1.9,10.1
Bromölla,28,100,350156,0,1,0.237623762,12625,78.2,11.6
Burlöv,47,100,200188,0,0,0.179020741,17646,956.2,9.1
Dals-Ed,35,100,257711,0,1,0.265647896,4777,6.6,11.9
Danderyd,42,25,237648,0,0,0.198480997,32653,1245.8,9.1
Degerfors,20,100,431416,0,1,0.266312832,9609,25.2,12.4
Dorotea,35,100,142726,0,1,0.300478117,2719,1,9.6
Eda,39,100,356566,0,1,0.243373211,8526,10.5,19.8
Ekerö,34,25,184161,0,0,0.169451945,27406,127.6,9.6
Eksjö,57,100,353836,0,1,0.244147352,17129,21.8,6.8
Emmaboda,23,100,355227,0,1,0.264548567,9348,13.6,11.8
Enköping,48,76,271255,1,0,0.207569554,42988,37.2,9.4
Eskilstuna,32,100,268338,1,0,0.196896339,103684,95.2,13.7
Eslöv,52,80,372584,1,0,0.186264371,32878,79.3,14.2
Essunga,31,50,191420,0,1,0.248220641,5620,24.1,8.8
Fagersta,26,100,142835,0,1,0.229602083,13445,49.9,13.2
Falkenberg,22,44,177742,0,1,0.235507329,43867,39.9,8.8
Falköping,28,25,218548,0,1,0.217460221,32806,31.7,15
Falun,38,82,280072,0,1,0.214301812,57685,28.6,9.5
Färgelanda,18,100,136872,1,0,0.249434133,6627,11.2,9.8
Filipstad,43,80,298567,0,1,0.263321168,10960,7,11.9
Finspång,68,86,233427,1,0,0.244541485,21526,20.4,7
Flen,29,100,256534,1,0,0.267260844,16830,23.5,6.7
Forshaga,41,100,359754,1,0,0.230896865,11451,33.1,8.5
Gagnef,44,100,268952,1,0,0.243144963,10175,13.3,8
Gällivare,50,100,388708,0,1,0.246435732,17956,1.1,18.9
Gävle,40,53,243867,1,0,0.200515092,99788,62.3,16.5
Gislaved,31,67,203927,0,1,0.200759889,29478,26.1,13
Gnesta,37,100,340110,1,0,0.227142989,10861,23.9,7.4
Gnosjö,23,100,261262,0,1,0.198855954,9615,23.1,10.2
Göteborg,26,100,235436,0,0,0.153407948,556640,1259.3,2.3
Götene,38,100,225406,0,1,0.237740113,13275,32.7,12.1
Gotland,46,74,246907,0,1,0.246866541,58003,18.7,27.2
Grästorp,32,100,304735,1,0,0.243139311,5721,21.7,9.9
Grums,22,100,192080,1,0,0.252455037,9063,23.3,11.9
Gullspång,35,100,333610,0,1,0.293762955,5307,16.7,10.3
Habo,27,100,384819,1,0,0.174779907,11586,36.1,9
Håbo,35,33,275670,0,0,0.178569706,20737,146.9,8.4
Hagfors,49,100,331522,0,1,0.287488462,11917,6.5,4.4
Hällefors,44,100,405986,0,1,0.289296722,7138,7.2,9.6
Hallsberg,28,100,241357,1,0,0.227810084,15649,25,11.4
Hallstahammar,31,100,275401,1,0,0.240989712,15843,94.4,10.3
Halmstad,33,81,323672,1,0,0.204733199,98538,98.4,10.8
Hammarö,34,100,277919,1,0,0.191478537,15725,272.1,12.7
Haninge,49,24,206299,0,0,0.154901801,85693,192.3,14.4
Haparanda,33,0,331967,0,1,0.269261963,9864,10.6,10.4
Härjedalen,28,100,366208,0,1,0.28872549,10200,0.9,6.7
Härnösand,27,100,296418,0,1,0.2515335,25269,23.8,16.6
Härryda,26,100,253615,0,0,0.15907621,37108,140.3,13.8
Hässleholm,46,100,285099,0,1,0.230940446,51667,41,28.7
Heby,29,100,263438,1,0,0.242021083,13755,11.9,13.2
Hedemora,31,100,327844,0,1,0.247914106,15461,18.6,18.4
Helsingborg,21,33,182216,1,0,0.188584602,140547,416.7,14.7
Herrljunga,31,100,272355,1,0,0.231920725,9486,19.1,3.5
Hjo,22,100,304940,0,1,0.257073386,9048,30.6,15.9
Hofors,18,100,228776,1,0,0.255018821,9564,23.6,11.1
Höganäs,33,100,321795,1,0,0.261306921,25847,182.5,23.6
Högsby,38,100,180317,0,1,0.246052632,6080,8.1,9.7
Höör,48,100,450787,1,0,0.204483696,16192,56.7,11.3
Hörby,34,100,225931,1,0,0.221815089,15283,37.1,18.3
Huddinge,27,38,153756,0,0,0.132855363,107538,839.5,11.7
Hudiksvall,27,100,243957,0,1,0.247593769,37299,15,11.3
Hultsfred,35,100,174582,0,1,0.251934004,14607,13,12.4
Hylte,39,100,247283,1,0,0.210334125,10954,11.6,10
Järfälla,35,33,175816,0,0,0.172310918,74412,1421.4,14
Jokkmokk,36,100,255818,0,1,0.264054848,5105,0.3,17.1
Jönköping,30,75,240251,1,0,0.190868977,135297,92.9,11.4
