municipality,year,population,care_recievers,old,cost,public_providers,hours,keep,rightwing,leftwing,density,town,countryside,private
 Ale,2015,28862,6.2,18.2,322333,60,39,1,1,0,95.3,0,0,1
 Ale,2016,29549,5.9,17.9,342506,65.6,33,1,1,0,95.3,0,0,1
 Ale,2017,30223,5.9,17.7,353658,71,32,1,1,0,95.3,0,0,1
 Ale,2014,28423,5.9,18.1,309379,88,35,1,1,0,95.3,0,0,1
 Alingsås,2015,39602,7.1,21.7,265002,63,39,1,1,0,85.6,0,0,1
 Alingsås,2017,40390,6.8,22.2,291950,71,41,1,1,0,85.6,0,0,1
 Alingsås,2014,39188,6.9,21.4,257216,83,38,1,1,0,85.6,0,0,1
 Alingsås,2016,40045,7.1,22,268102,83,38,1,1,0,85.6,0,0,1
 Älmhult,2016,16618,7.7,20.9,290993,50,37,1,1,0,19.3,0,1,1
 Älmhult,2015,16168,8.9,21.1,284262,67,32,1,1,0,19.3,0,1,1
 Älmhult,2014,15908,9.3,21.2,246092,80,28,1,1,0,19.3,0,1,1
 Älmhult,2017,17148,7.5,20.2,306957,80,28,1,1,0,19.3,0,1,1
 Älvdalen,2014,7052,8.9,27.2,213252,100,35,1,1,0,1,0,1,0
 Älvdalen,2015,7035,8.4,27.8,283716,100,43,1,1,0,1,0,1,0
 Älvdalen,2016,7039,8.1,27.8,275519,100,42,1,1,0,1,0,1,0
 Älvdalen,2017,7068,7.6,27.9,296786,100,40,1,1,0,1,0,1,0
 Alvesta,2014,19503,6.2,21.3,262156,100,39,1,0,0,20.6,1,0,0
 Alvesta,2015,19581,6.8,21.6,271323,100,37,1,0,0,20.6,1,0,0
 Alvesta,2016,19850,7.8,21.8,280490,100,39,1,0,0,20.6,1,0,0
 Alvesta,2017,20026,7.8,21.9,236896,100,37,1,0,0,20.6,1,0,0
 Älvkarleby,2014,9169,8.3,23.5,291650,100,33,1,1,0,43.7,1,0,0
 Älvkarleby,2015,9293,8.7,23.3,316456,100,41,1,1,0,43.7,1,0,0
 Älvkarleby,2016,9445,8.5,23.3,329718,100,43,1,1,0,43.7,1,0,0
 Älvkarleby,2017,9402,8.6,23.8,374246,100,48,1,1,0,43.7,1,0,0
 Älvsbyn,2014,8171,9.3,25.4,240552,100,42,1,1,0,4.9,1,0,0
 Älvsbyn,2015,8183,8.2,25.6,272122,100,42,1,1,0,4.9,1,0,0
 Älvsbyn,2016,8193,8.2,25.8,274491,100,41,1,1,0,4.9,1,0,0
 Älvsbyn,2017,8274,8.1,25.7,231400,100,35,1,1,0,4.9,1,0,0
 Åmål,2014,12326,7.8,26.1,269487,83,27,1,1,0,26.4,0,1,1
 Åmål,2017,12711,7.8,25.7,270195,86,27,1,1,0,26.4,0,1,1
 Åmål,2015,12601,7.7,25.7,276050,100,24,1,1,0,26.4,0,1,1
 Åmål,2016,12801,7.5,25.4,281648,100,26,1,1,0,26.4,0,1,1
 Aneby,2016,6603,10.2,22.2,233225,50,44,1,0,1,13.1,1,0,0
 Aneby,2014,6426,9.8,22.3,215846,100,53,1,0,1,13.1,1,0,0
 Aneby,2015,6537,9.3,22.2,244177,100,43,1,0,1,13.1,1,0,0
 Aneby,2017,6776,9.2,21.8,265639,100,38,1,0,1,13.1,1,0,0
 Ånge,2014,9484,11.7,26.8,161425,100,24,1,1,0,3.1,0,1,0
 Ånge,2015,9493,9.8,27.1,206865,100,24,1,1,0,3.1,0,1,0
 Ånge,2016,9495,9.8,27,216904,100,18,1,1,0,3.1,0,1,0
 Ånge,2017,9480,11.1,27.1,226195,100,15,1,1,0,3.1,0,1,0
 Ängelholm,2014,40229,6,23.3,376015,56,35,1,0,0,99.5,1,0,1
 Ängelholm,2015,40732,7,23.5,295227,56,34,1,0,0,99.5,1,0,1
 Ängelholm,2016,41336,7.7,23.6,283146,63,30,1,0,0,99.5,1,0,1
 Ängelholm,2017,41786,7.3,23.6,296642,67,27,1,0,0,99.5,1,0,1
 Arboga,2014,13631,5.6,25.3,223580,100,29,1,0,0,42.8,0,1,0
 Arboga,2015,13858,5.8,25.2,243510,100,35,1,0,0,42.8,0,1,0
 Arboga,2016,13903,5.8,25.2,229438,100,31,1,0,0,42.8,0,1,0
 Arboga,2017,13934,5.4,25.4,235137,100,31,1,0,0,42.8,0,1,0
 Åre,2014,10555,9.9,18.1,150807,100,18,1,0,0,1.6,0,1,0
 Åre,2015,10677,8.6,18.2,240685,100,20,1,0,0,1.6,0,1,0
 Åre,2016,11088,8.7,17.6,296028,100,22,1,0,0,1.6,0,1,0
 Åre,2017,11268,8.6,17.5,267400,100,21,1,0,0,1.6,0,1,0
 Årjäng,2014,9804,6.9,23.7,290162,100,25,1,0,0,7.1,0,1,0
 Årjäng,2015,9869,7,23.9,306456,100,28,1,0,0,7.1,0,1,0
 Årjäng,2016,9958,6.9,24.1,321238,100,28,1,0,0,7.1,0,1,0
 Årjäng,2017,9948,6.9,24.4,319380,100,29,1,0,0,7.1,0,1,0
 Arjeplog,2014,2907,7,27.3,252932,100,27,1,1,0,0.2,0,1,0
 Arjeplog,2015,2887,6.3,27.2,309317,100,31,1,1,0,0.2,0,1,0
 Arjeplog,2016,2876,6.5,27.1,261238,100,31,1,1,0,0.2,0,1,0
 Arjeplog,2017,2821,7.4,27.5,230676,100,31,1,1,0,0.2,0,1,0
 Arvidsjaur,2014,6484,10.4,26.5,183759,100,35,1,1,0,1.1,0,1,0
 Arvidsjaur,2015,6471,10,26.8,192595,100,34,1,1,0,1.1,0,1,0
 Arvidsjaur,2016,6442,9.7,26.7,203910,100,31,1,1,0,1.1,0,1,0
 Arvidsjaur,2017,6440,9.4,26.5,201016,100,29,1,1,0,1.1,0,1,0
 Arvika,2014,25771,7.4,24.7,306207,100,36,1,1,0,15.8,0,1,0
 Arvika,2015,25841,7.1,24.9,333846,100,30,1,1,0,15.8,0,1,0
 Arvika,2016,26054,6.9,25,351581,100,30,1,1,0,15.8,0,1,0
 Arvika,2017,26060,6.6,25.3,381786,100,31,1,1,0,15.8,0,1,0
 Askersund,2014,11119,11.5,27.4,192893,100,40,1,1,0,13.7,1,0,0
 Askersund,2015,11151,11.7,27.6,198945,100,41,1,1,0,13.7,1,0,0
 Askersund,2016,11282,9.9,27.6,257586,100,40,1,1,0,13.7,1,0,0
 Askersund,2017,11175,8.1,27.9,330835,100,35,1,1,0,13.7,1,0,0
 Åstorp,2014,15061,6.7,18.1,283866,100,28,1,0,0,171.4,1,0,0
 Åstorp,2015,15193,7,18.3,270919,100,30,1,0,0,171.4,1,0,0
 Åstorp,2016,15528,7.1,18.1,283706,100,34,1,0,0,171.4,1,0,0
 Åstorp,2017,15828,6.6,18,342598,100,37,1,0,0,171.4,1,0,0
 Åtvidaberg,2014,11472,6.8,24.9,263880,100,27,1,0,0,16.9,1,0,0
 Åtvidaberg,2015,11545,5.9,25.1,312226,100,27,1,0,0,16.9,1,0,0
 Åtvidaberg,2016,11617,5.8,25.3,361390,100,27,1,0,0,16.9,1,0,0
 Åtvidaberg,2017,11631,6.1,25.6,352146,100,31,1,0,0,16.9,1,0,0
 Avesta,2014,22022,7.6,24.8,205858,100,24,1,1,0,37.9,0,1,0
 Avesta,2015,22781,7.9,24.3,238159,100,26,1,1,0,37.9,0,1,0
 Avesta,2016,23161,7.6,24.2,250280,100,27,1,1,0,37.9,0,1,0
 Avesta,2017,23256,7.8,24.4,259337,100,28,1,1,0,37.9,0,1,0
 Båstad,2014,14419,6.4,29.8,337142,75,35,1,0,1,68.1,0,1,0
 Båstad,2015,14373,6.6,30.1,348878,100,35,1,0,1,68.1,0,1,0
 Båstad,2016,14614,6.6,29.9,376198,100,34,1,0,1,68.1,0,1,0
 Båstad,2017,14796,6.7,30.4,344510,100,31,1,0,1,68.1,0,1,0
 Bengtsfors,2014,9556,7.4,28.4,244348,100,23,1,0,0,11.2,0,1,0
 Bengtsfors,2015,9626,7.9,28.9,225055,100,24,1,0,0,11.2,0,1,0
 Bengtsfors,2016,9940,8.4,28.5,221564,100,22,1,0,0,11.2,0,1,0
 Bengtsfors,2017,9905,8.2,28.7,225677,100,23,1,0,0,11.2,0,1,0
 Berg,2015,7032,10.9,28.5,212423,75,19,1,1,0,1.2,1,0,1
 Berg,2016,7081,11.2,28,215640,75,19,1,1,0,1.2,1,0,1
 Berg,2017,7122,10.3,28.1,230738,80,23,1,1,0,1.2,1,0,1
 Berg,2014,7067,10.2,28,259208,100,20,1,1,0,1.2,1,0,1
 Bjurholm,2014,2451,9,29.9,188064,100,26,1,0,1,1.9,1,0,0
 Bjurholm,2015,2453,9.3,29.9,183906,100,30,1,0,1,1.9,1,0,0
 Bjurholm,2016,2454,9.4,29.7,209004,100,34,1,0,1,1.9,1,0,0
 Bjurholm,2017,2451,9.7,30.1,249747,100,32,1,0,1,1.9,1,0,0
 Boden,2014,27887,8.6,23.3,267485,56,43,1,0,0,7,1,0,1
 Boden,2015,27913,7.2,23.6,308295,88,41,1,0,0,7,1,0,1
 Boden,2016,28042,6.9,23.9,275706,88,33,1,0,0,7,1,0,1
